___November_2012_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  63   4  -55.00  -83.00        1.8625
  64   4  -53.00  -83.00        1.8625
  65   4  -51.00  -83.00        1.8625
  66   4  -49.00  -83.00        1.8625
  67   4  -47.00  -83.00        1.8625
  68   4  -45.00  -83.00        1.8625
  69   4  -43.00  -83.00        1.8625
  70   4  -41.00  -83.00        1.8625
  71   4  -39.00  -83.00        1.8625
  72   4  -37.00  -83.00        1.8625
  73   4  -35.00  -83.00        1.8625
  74   4  -33.00  -83.00        1.8625
  75   4  -31.00  -83.00        1.8625
  76   4  -29.00  -83.00        1.8625
  77   4  -27.00  -83.00        1.8625
  78   4  -25.00  -83.00        1.8625
  79   4  -23.00  -83.00        1.8625
  80   4  -21.00  -83.00        1.8625
  81   4  -19.00  -83.00        1.8625
  82   4  -17.00  -83.00        1.8625
  83   4  -15.00  -83.00        1.8625
  84   4  -13.00  -83.00        1.8625
  85   4  -11.00  -83.00        1.8625
  86   4   -9.00  -83.00        1.8625
  87   4   -7.00  -83.00        1.8625
  88   4   -5.00  -83.00        1.8625
  89   4   -3.00  -83.00        1.8625
  90   4   -1.00  -83.00        1.8625
  91   4    1.00  -83.00        1.8625
  92   4    3.00  -83.00        1.8625
  93   4    5.00  -83.00        1.8625
  94   4    7.00  -83.00        1.8625
  95   4    9.00  -83.00        1.8625
  96   4   11.00  -83.00        1.8625
  97   4   13.00  -83.00        1.8625
  98   4   15.00  -83.00        1.8625
  99   4   17.00  -83.00        1.8625
 100   4   19.00  -83.00        1.8625
 101   4   21.00  -83.00        1.8625
 102   4   23.00  -83.00        1.8625
 103   4   25.00  -83.00        1.8625
 104   4   27.00  -83.00        1.8625
 105   4   29.00  -83.00        1.8625
 106   4   31.00  -83.00        1.8625
 107   4   33.00  -83.00        1.8625
 108   4   35.00  -83.00        1.8625
 109   4   37.00  -83.00        1.8625
 110   4   39.00  -83.00        1.8625
 111   4   41.00  -83.00        1.8625
 112   4   43.00  -83.00        1.8625
 113   4   45.00  -83.00        1.8625
 114   4   47.00  -83.00        1.8625
 115   4   49.00  -83.00        1.8625
 116   4   51.00  -83.00        1.8625
 117   4   53.00  -83.00        1.8625
 118   4   55.00  -83.00        1.8625
 119   4   57.00  -83.00        1.8625
 120   4   59.00  -83.00        1.8625
 121   4   61.00  -83.00        1.8625
 122   4   63.00  -83.00        1.8625
 123   4   65.00  -83.00        1.8625
 124   4   67.00  -83.00        1.8625
